Date,RegionName,InventoryRaw_AllHomes,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio
2016-02-29,Nevada,13041,119687.5,148000,209900,289000,379900,234844,122500,204000,245000,2.86578577555527,4.25531914893616,2.73972602739726,7000,5000,7900,845,950,1249,1495,1900,1250,925,,949,1300,
2016-02-29,NewHampshire,7432,105450,165000,239000,349000,329698,242500,199000,199900,249900,3.80753138075314,3.33555703802535,3.9440775666676,10000,5000,10000,900,1200,1500,1800,,1495,1300,1049,1100,1600,
2016-02-29,NewJersey,50442,168900,224900,324900,499900,719450,278900,248949.5,269900,284900,4.15929203539823,3.84763370527126,4.17014178482068,10000,10000,10000,1550,1890,2100,2600,,1850,1850,1650,1800,1850,1750
2016-02-29,NewMexico,11225,125000,149900,193000,283000,399500,204900,169000,212000,207000,3.50877192982456,4.43478260869565,3.50877192982456,7400,7160,7500,634.5,800,1150,1312.5,,1142.5,905,650,700,1150,875
2016-02-29,NewYork,68414,260000,235500,209000,325000,629000,339000,665000,545000,295400,4.13698630136986,4.14847161572053,4.12059040320061,10000,15100,10000,2100,2450,2800,,,3200,3000,2500,2400,,2390
2016-02-29,NorthCarolina,54423,124700,135000,179000,309900,499000,219000,189000,195000,219990,3.33361113426118,3.45543161851271,3.33333333333333,6000,5100,6000,955,925,1090,1447,1950,1100,900,750,1009,1100,1250
2016-02-29,Ohio,41495,68840,79900,119900,224990,229000,129900,122960,78500,130000,4.11522633744856,3.50877192982456,4.16840350145894,5000,5000,5000,650,825,1000,1500,,1000,1099.5,650,799,1000,
2016-02-29,Oklahoma,17650,75000,72900,149202.5,259750,389000,163000,104500,178048,164900,3.03214069132808,3.34519787385139,3.03214069132808,5000,2950,5000,609,745,1100,1495,,1050,,700,725,1100,1050
2016-02-29,Oregon,12768,189900,210000,269900,375000,474750,289900,219900,265000,295000,3.4494653328734,3.798429982274,3.44827586206896,10000,10000,10000,,1340.5,1595,1875,,1550,1437.5,1150,1384,1575,1300
2016-02-29,Pennsylvania,55272,119900,120000,149900,289900,289000,167900,194900,118000,165000,3.84763370527126,3.33444481493831,3.84911470361817,5100,5000,5400,970,1195,1300,1800,,1295,1400,995,1196,1250,1150
